"","X","COSMIC_ID","sample_name","sample_id","model_id","model_name","patient_id","BROAD_ID","CCLE_ID","tissue_descriptor_1","tissue_descriptor_2","tissue_descriptor","tissue","tissue_status","sample_site","cancer_type","cancer_type_passports","gender","ethnicity","age_at_sampling","family_history_of_cancer","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","GDSC_1000","whole_exome_seq","cna","gene_expression","methylation","drug_response"
"11",1267,909702,"RPMI-8402","SIDS01149","SIDM00403","RPMI-8402","SIDP01036","ACH-000636","RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","ALL","T-Lymphoblastic Leukemia","Female","Unknown",16,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"12",657,1295740,"ALL-SIL","SIDS00451","SIDM00994","ALL-SIL","SIDP00388","ACH-000105","ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","T_cell_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","ALL","T-Lymphoblastic Leukemia","Male","Unknown",17,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"13",662,1297446,"DND-41","SIDS00498","SIDM00946","DND-41","SIDP00435","ACH-000981","DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","T_cell_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","ALL","T-Lymphoblastic Leukemia","Male","Unknown",13,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"14",1046,906763,"BE-13","SIDS00454","SIDM01245","BE-13","SIDP00391","ACH-002216","BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","ALL","T-Lymphoblastic Leukemia","Female","Unknown",4,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"15",1475,998184,"Jurkat","SIDS00539","SIDM01016","Jurkat","SIDP00474","ACH-000995","JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","T_cell_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","ALL","T-Lymphoblastic Leukemia","Male","Unknown",14,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"16",1260,909260,"PF-382","SIDS01140","SIDM00451","PF-382","SIDP01027","ACH-000937","PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Metastasis","Pleural effusion","ALL","T-Lymphoblastic Leukemia","Female","Unknown",6,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"17",1299,909743,"SUP-T1","SIDS00388","SIDM01154","SUP-T1","SIDP00332","ACH-000953","SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Metastasis","Pleural effusion","ALL","T-Lymphoblastic Leukemia","Male","White",8,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"18",1005,905952,"CCRF-CEM","SIDS00816","SIDM00121","CCRF-CEM","SIDP00729","ACH-001738","CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","T-Lymphoblastic Leukemia","Female","White",4,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"19",1011,905958,"MOLT-4","SIDS00832","SIDM00145","MOLT-4","SIDP00742","ACH-001127","MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","T-Lymphoblastic Leukemia","Male","Unknown",19,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"20",1109,906877,"GR-ST","SIDS00667","SIDM01259","GR-ST","SIDP00595","ACH-002238","GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","B-Lymphoblastic Leukemia","Male","Unknown",10,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"21",1147,907272,"KARPAS-45","SIDS00548","SIDM01007","KARPAS-45","SIDP00482","ACH-002256","KARPAS45_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","T-Lymphoblastic Leukemia","Male","Unknown",2,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"22",1152,907277,"KE-37","SIDS00552","SIDM01003","KE-37","SIDP00486","ACH-000101","KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","T-Lymphoblastic Leukemia","Male","Unknown",27,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"23",1255,909252,"P30-OHK","SIDS01038","SIDM00364","P30-OHK","SIDP00931","ACH-002059","P30OHK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","B-Lymphoblastic Leukemia","Female","East Asian",11,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"24",1342,910687,"ATN-1","SIDS00651","SIDM00233","ATN-1","SIDP00580","ACH-002058","ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","T-Lymphoblastic Leukemia","Male","Unknown",47,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"25",1394,910944,"ALL-PO","SIDS00591","SIDM00211","ALL-PO","SIDP00523","ACH-002209","ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","B-Lymphoblastic Leukemia","Female","Unknown",0.33,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"26",1458,949153,"HAL-01","SIDS00668","SIDM00289","HAL-01","SIDP00596","ACH-002241","HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","ALL","B-Lymphoblastic Leukemia","Female","East Asian",17,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"27",1256,909253,"P31-FUJ","SIDS01039","SIDM00363","P31-FUJ","SIDP00932","ACH-000770","P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Blood","LAML","Acute Myeloid Leukemia","Male","East Asian",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"28",1343,910688,"CESS","SIDS00100","SIDM00917","CESS","SIDP00082","ACH-002218","CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Blood","LAML","Acute Myeloid Leukemia","Male","White",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"29",732,1323913,"NB-4","SIDS01126","SIDM00428","NB4","SIDP01013","ACH-000294","NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","LAML","Acute Myeloid Leukemia","Female","Unknown",23,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","N","Y"
"30",1153,907278,"KG-1","SIDS00042","SIDM00785","KG-1","SIDP00031","ACH-000386","KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","LAML","Acute Myeloid Leukemia","Male","White",59,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"31",1229,908451,"NOMO-1","SIDS01025","SIDM00580","NOMO-1","SIDP00919","ACH-000168","NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","LAML","Acute Myeloid Leukemia","Female","Unknown",34,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"32",1277,909715,"SIG-M5","SIDS01156","SIDM00396","SIG-M5","SIDP01042","ACH-000112","SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","LAML","Acute Myeloid Leukemia","Male","Unknown",63,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"33",758,1330985,"OCI-M1","SIDS01135","SIDM00458","OCI-M1","SIDP01022","ACH-000751","OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Erythroleukemia blasts","LAML","Acute Myeloid Leukemia","Unknown","Unknown",62,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"34",630,1290455,"OCI-AML3","SIDS01131","SIDM00462","OCI-AML3","SIDP01018","ACH-000336","OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",57,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"35",743,1330942,"ME-1","SIDS01103","SIDM00338","ME-1","SIDP00992","ACH-000439","ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","East Asian",40,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"36",746,1330947,"MOLM-13","SIDS01120","SIDM00437","MOLM-13","SIDP01007","ACH-000362","MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",20,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"37",747,1330948,"MOLM-16","SIDS01121","SIDM00435","MOLM-16","SIDP01008","ACH-000369","MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Female","East Asian",77,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","N","Y"
"38",756,1330983,"OCI-AML5","SIDS01132","SIDM00461","OCI-AML5","SIDP01019","ACH-000065","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",77,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"39",761,1330991,"PL-21","SIDS01141","SIDM00450","PL-21","SIDP01028","ACH-000218","PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",24,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"40",1120,907053,"HEL","SIDS00964","SIDM00594","HEL","SIDP00863","ACH-000004","HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","White",30,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"41",1150,907275,"KASUMI-1","SIDS00550","SIDM01005","KASUMI-1","SIDP00484","ACH-000263","KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","East Asian",7,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"42",1207,908141,"ML-2","SIDS01116","SIDM00441","ML-2","SIDP01005","ACH-002273","ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"43",1226,908448,"NKM-1","SIDS01021","SIDM00576","NKM-1","SIDP00915","ACH-002290","NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"44",1316,909771,"THP-1","SIDS00410","SIDM01172","THP-1","SIDP00353","ACH-000146","THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",1,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"45",1333,910545,"QIMR-WIL","SIDS00935","SIDM00467","QIMR-WIL","SIDP00835","ACH-002299","QIMRWIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Female","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"46",1396,910947,"OCI-AML2","SIDS01130","SIDM00446","OCI-AML2","SIDP01017","ACH-000113","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LAML","Acute Myeloid Leukemia","Male","Unknown",65,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"47",993,905938,"HL-60","SIDS00035","SIDM00829","HL-60","SIDP00028","ACH-000002","HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LAML","Acute Myeloid Leukemia","Female","White",36,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"48",1104,906870,"GDM-1","SIDS00517","SIDM01057","GDM-1","SIDP00453","ACH-000081","GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LAML","Acute Myeloid Leukemia","Female","Unknown",NA,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"49",1155,907280,"KMOE-2","SIDS00555","SIDM01019","KMOE-2","SIDP00489","ACH-002258","KMOE2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LAML","Acute Myeloid Leukemia","Female","Unknown",2,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"50",1213,908148,"MONO-MAC-6","SIDS00569","SIDM01023","MONO-MAC-6","SIDP00502","ACH-000006","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","acute_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LAML","Acute Myeloid Leukemia","Male","Unknown",64,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"51",1166,907300,"KY821","SIDS01005","SIDM00553","KY821","SIDP00899","ACH-002262","KY821_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Unknown","LAML","Acute Myeloid Leukemia","Male","East Asian",28,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"52",1095,906855,"EM-2","SIDS00508","SIDM01047","EM-2","SIDP00445","ACH-000295","EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","LCML","Chronic Myelogenous Leukemia","Female","White",5,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"53",1198,908126,"MEG-01","SIDS00915","SIDM00526","MEG-01","SIDP00818","ACH-000072","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone Marrow","LCML","Chronic Myelogenous Leukemia","Male","Unknown",55,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"54",1180,907783,"LAMA-84","SIDS01094","SIDM00346","LAMA-84","SIDP00983","ACH-000301","LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LCML","Chronic Myelogenous Leukemia","Female","Unknown",29,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"55",1332,910544,"RPMI-8866","SIDS00936","SIDM00482","RPMI-8866","SIDP00836","ACH-002302","RPMI8866_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","LCML","Chronic Myelogenous Leukemia","Female","Unknown",51,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"56",737,1327771,"JURL-MK1","SIDS00540","SIDM01015","JURL-MK1","SIDP00475","ACH-000326","JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LCML","Chronic Myelogenous Leukemia","Male","Unknown",73,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"57",1167,907311,"KU812","SIDS00678","SIDM00308","KU812","SIDP00606","ACH-000074","KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LCML","Chronic Myelogenous Leukemia","Male","East Asian",38,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"58",1357,910710,"BV-173","SIDS00464","SIDM00962","BV-173","SIDP00401","ACH-000432","BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LCML","Chronic Myelogenous Leukemia","Male","Unknown",45,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"59",1398,910951,"CML-T1","SIDS00486","SIDM00958","CML-T1","SIDP00423","ACH-000920","CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral Blood","LCML","Chronic Myelogenous Leukemia","Female","Unknown",36,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"60",740,1330931,"KCL-22","SIDS00551","SIDM01004","KCL-22","SIDP00485","ACH-000983","KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Metastasis","Pleural effusion","LCML","Chronic Myelogenous Leukemia","Female","Unknown",32,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"61",995,905940,"K-562","SIDS00037","SIDM00791","K-562","SIDP00029","ACH-000551","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","chronic_myeloid_leukaemia","leukemia","Haematopoietic and Lymphoid","Metastasis","Unknown","LCML","Chronic Myelogenous Leukemia","Female","Unknown",53,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"62",1145,907270,"JVM-3","SIDS00543","SIDM01012","JVM-3","SIDP00477","ACH-000346","JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","lymphoma","lymphoid_neoplasm other","lymphoma","Haematopoietic and Lymphoid","Tumour","Peripheral blood","CLL","Other Blood Cancers","Male","Unknown",73,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"63",1076,906832,"DB","SIDS00112","SIDM00886","DB","SIDP00089","ACH-000334","DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","lymphoma","B_cell_lymphoma","lymphoma","Haematopoietic and Lymphoid","Tumour","Ascites","DLBC","B-Cell Non-Hodgkin's Lymphoma","Male","White",45,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"64",1129,907063,"HT","SIDS00166","SIDM00661","HT","SIDP00132","ACH-000914","HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","lymphoma","B_cell_lymphoma","lymphoma","Haematopoietic and Lymphoid","Metastasis","Ascites","DLBC","B-Cell Non-Hodgkin's Lymphoma","Male","White",70,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","N","Y","Y"
"65",1190,907799,"MC116","SIDS00190","SIDM00637","MC116","SIDP00154","ACH-000583","MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","lymphoma","B_cell_lymphoma","lymphoma","Haematopoietic and Lymphoid","Metastasis","Ascites","DLBC","B-Cell Non-Hodgkin's Lymphoma","Male","Unknown",0,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
